name,environment_grade,environment_score,env_score_gap,social_grade,social_score,social_score_gap,governance_grade,governance_score,governance_score_gap,total_gap
Zions Bancorporation NA,B,200,-30.835294117647067,B,200,-32.93893129770993,B,200,-28.666666666666657,-92.44089208202365
Allied Esports Entertainment Inc,B,200,-30.835294117647067,B,200,-32.93893129770993,B,200,-28.666666666666657,-92.44089208202365
Granite Construction Inc,B,200,-30.835294117647067,B,200,-32.93893129770993,B,200,-28.666666666666657,-92.44089208202365
XL Fleet Corp,B,200,-30.835294117647067,B,200,-32.93893129770993,B,200,-28.666666666666657,-92.44089208202365
TE Connectivity Ltd,B,200,-30.835294117647067,B,200,-32.93893129770993,B,200,-28.666666666666657,-92.44089208202365
